doll_friend_s2_message,Description,Skip,Additional comments,Identifier iOS,Identifier Android,en-us text,tw text,cn text,th-th text,de text
Baby care / Tips,Home screen,,,babyCare.tip.unwell,uncomfortable_tip_text,"If babies don't feel well, they'll probably cry in a different tone from the one you're used to. It may be weaker, more urgent, continuous, or high-pitched. If the baby usually cries a lot but has become unusually quiet, this may also be a sign that he/she is not well. \nCall your doctor straight away if your baby is persistently crying and has a fever of 38C or above.",如果寶寶感到不舒服，他們的哭聲可能和平常不同，例如會比較微弱、更急促、持續更久或是更尖銳。假如寶寶平常經常哭泣，卻變得異常安靜，也要注意是否是他/她不舒服的信號。 如果寶寶哭個不停且發燒超過38度，請立刻聯絡您的家庭醫生。,如果宝宝感到不舒服，他们的哭声可能会和平常不同，例如会比较微弱、更急促、持续更久或是更尖锐。假如宝宝平常经常哭泣，却变得异常安静，也要注意是否为他/她不舒服的信号。 如果宝宝哭个不停且发烧超过38度，请立刻前往就医或联系您的家庭医生。,หากทารกรู้สึกไม่สบายพวกเขาอาจจะร้องไห้ด้วยน้ำเสียงที่แตกต่างจากที่คุณคุ้นเคย มันอาจจะอ่อนแอกว่าเร่งด่วนมากขึ้นต่อเนื่องหรือเสียงแหลมสูง หากทารกมักจะร้องไห้มาก แต่ก็เงียบผิดปกตินี่อาจเป็นสัญญาณว่าเขา/เธอไม่ดี \ ncall แพทย์ของคุณทันทีถ้าลูกน้อยของคุณร้องไห้อย่างต่อเนื่องและมีไข้ 38c ขึ้นไป,"Wenn sich Babys nicht wohl fühlen, weinen sie wahrscheinlich in einem anderen Ton, als Sie es gewohnt sind. Es kann schwächer, eindringlicher, kontinuierlicher oder hoher Ton sein. Wenn das Baby normalerweise viel weint, aber ungewöhnlich ruhig geworden ist, kann dies auch ein Zeichen dafür sein, dass es ihm nicht gut geht. \nRufen Sie sofort Ihren Arzt an, wenn Ihr Baby ständig schreit und Fieber von 38 °C oder mehr hat."
Baby care / Tips,Home screen,,,babyCare.tip.title.uncomfortable,uncomfortable_tip_title,Unwell?,覺得不舒服?,觉得不舒服?,ไม่สบาย?,Unwohl?
Baby is resting,Page displayed when user has no access to family album nor live streaming,,,babyIsResting,baby_is_resting,Baby is resting,寶寶正在休息中,宝宝正在休息中,ที่รักกำลังพักผ่อน,Baby ruht
Baby profile / admin,"Baby profile settings screen, Baby profile screen",,,babyProfile.birthday,baby_profile_birthday,Birthday,生日,生日,วันเกิด,Geburtstag
Baby profile,"Baby profile settings screen, Baby profile screen",,,babyProfile.birthday.optional,,Birthday(Optional),生日（選填）,生日（选填）,,Geburtstag (optional)
Baby profile / change birthday (dailog),BabyProfile,,,babyProfile.change.birthday.title,baby_profile_change_birthday,Change baby's birthday?,確定修改寶寶生日?,确定修改宝宝生日?,เปลี่ยนวันเกิดของทารก?,Geburtstag des Babys ändern?
Baby profile / Change birthday (dialog),,,Same warning as babyProfile.change.birthday.message,,baby_profile_change_birthday_content,Once you change the birthday to %1$s the contents prior to that date will disappear. Are you sure?,當修改生日為%1$s，之前的內容將不存在，確定要修改嗎?,当修改生日为%1$s，之前的内容将不存在，确定要修改吗?,เมื่อคุณเปลี่ยนวันเกิดเป็น %1 $ s เนื้อหาก่อนวันนั้นจะหายไป คุณแน่ใจไหม?,"Sobald Sie den Geburtstag auf %1$s ändern, verschwinden die Inhalte vor diesem Datum. Bist du sicher?"
Baby profile / change birthday warning (dailog),Changed baby's birthday warning,,,babyProfile.change.birthday.message,,Photos before pregnancy %s &_%s_Milestone Cards will be deleted. Are you sure?,%s孕期之前的照片及%s張成長里程碑小卡將會被刪除，確定要修改寶寶生日嗎?,%s孕期之前的照片及%s成长里程碑小卡将会被删除，确定要修改宝宝的生日吗?,ภาพถ่ายก่อนการตั้งครรภ์ %s &_%s_milestone จะถูกลบ คุณแน่ใจไหม?,Fotos vor der Schwangerschaft %s &_%s_Meilensteinkarten werden gelöscht. Bist du sicher?
Baby profile / Error (hint),No gender in baby profile form,,,babyProfile.invalidGender,,Please select baby's gender,請選擇寶寶性別,请选择宝宝性别,กรุณาเลือกเพศของทารก,Bitte wählen Sie das Geschlecht des Babys aus
Baby profile / Error (hint),No name in baby profile form,,,babyProfile.invalidName,,Please provide baby's name,請提供寶寶名字,请提供宝宝名字,โปรดระบุชื่อของทารก,Bitte gib den Namen Deines Babys ein.
Baby profile / Error (hint),No name and gender in baby profile form,,,babyProfile.invalidNameAndGender,,Please provide baby's name and gender,請提供寶寶名字及性別,请提供宝宝名字及性别,โปรดระบุชื่อและเพศของทารก,Bitte gib den Namen und das Geschlecht Deines Babys an.
Baby profile / Error (hint),No birthday in baby profile form,,,babyProfile.noDate,,Please provide baby's birthday,請輸入寶寶的生日,请输入宝宝的生日,กรุณาจัดเตรียมวันเกิดของทารก,Bitte gib das Geburtdatum Deines Babys ein.
Baby profile / member,Baby profile member settings,,Should use baby_profile_country instead of nation,,baby_profile_nation,Nationality,國籍,国籍,สัญชาติ,Nationalität
Baby profile / member,Baby profile member settings,,,babyProfile.unfollow,unfollow,Unfollow,取消關注,取消关注,เลิกติดตาม,Nicht mehr folgen
Baby profile / unfollow,Baby profile message confirmation unfollow,,,babyProfile.unfollowMessage,baby_unfollow_confirm_message,"If you unfollow %s, you will not be able to access content anymore.",如果取消關注%s，您將無法再訪問任何內容。,如果取消关注%s，您将无法再访问任何内容。,หากคุณเลิกติดตาม %s คุณจะไม่สามารถเข้าถึงเนื้อหาได้อีกต่อไป,"Wenn Sie %s nicht mehr folgen, können Sie nicht mehr auf Inhalte zugreifen."
Baby profile settings delete device confirmation dialog,Baby profile settings delete device confirmation dialog,,Not used in iOS / [VIRTUS] It is used on the delete baby feature which is currently hidden. Should we remove this feature/strings entirely?,,baby_profile_edit_delete_dialog_message,All contents belonging to this baby will be deleted from the cloud.,所有寶寶的內容將會從雲端刪除,所有宝宝的内容将会从云端删除,เนื้อหาทั้งหมดที่เป็นของทารกนี้จะถูกลบออกจากคลาวด์,Alle zu diesem Baby gehörenden Inhalte werden aus der Cloud gelöscht.
Baby profile settings delete device dialog,Baby profile settings delete device dialog,,Not used in iOS / [VIRTUS] It is used on the delete baby feature which is currently hidden. Should we remove this feature/strings entirely?,,baby_profile_edit_device_dialog_message,Please unbind device(s) before delete this baby.,刪除寶寶前，請先將Pixsee解除綁定,删除宝宝前，请先将Pixsee解除绑定,โปรดปลดอุปกรณ์ก่อนที่จะลบทารกนี้,"Bitte entkoppeln Sie die Geräte, bevor Sie dieses Baby löschen."
Baby profile settings delete device dialog,Baby profile settings delete device dialog,,Not used in iOS / [VIRTUS] It is used on the delete baby feature which is currently hidden. Should we remove this feature/strings entirely?,,baby_profile_edit_device_dialog_title,Has %s device(s),有%s台裝置,有%s台装置,มีอุปกรณ์ %s,Hat %s Gerät(e)
Baby profile settings screen,User profile edit screen,,,delete,delete,Delete,刪除,删除,ลบ,Löschen
Baby timeline / Unborn,Used in timeline as the title of itens before baby's birthday,,,,unborn_moment,Pregnancy moments,孕期回憶,孕期回忆,ช่วงเวลาการตั้งครรภ์,Schwangerschaftsmomente
Baby Timeline screen / holiday,Baby Timeline screen,,,celebrate,celebrate,Celebrate,慶祝,庆祝,ฉลอง,Feiern
Baby Timeline screen / holiday,Daily cover timeline screen,,,age,timeline_age,Age,寶寶,宝宝,อายุ,Alter
Background play settings,Device settings,,,backgroundPlay.title,background_play,Background monitoring,背景監控,后台监控,การตรวจสอบพื้นหลัง,Hintergrundüberwachung
Background play settings,Device settings,,,backgroundPlay.subtitle.noFloatingVideo,,Audio monitoring,聲音監控,声音监控,การตรวจสอบเสียง,Audioüberwachung
,,,,backgroundPlay.subtitle,background_monitoring_subtitle,Audio monitoring & floating video,聲音監控 & 浮動影片,声音监控 & 浮动视频,การตรวจสอบเสียงและวิดีโอลอยน้ำ,Audioüberwachung und schwebendes Video
Background play settings,Device settings,,,backgroundPlay.keepPlaying.description,bg_play_description,Keep streaming even after leaving the Pixsee app or when mobile is locked.,離開Pixsee App或手機螢幕鎖定後保持連線狀態,离开Pixsee App或手机锁屏后保持连线状态,สตรีมมิ่งต่อไปแม้หลังจากออกจากแอพ Pixsee หรือเมื่อมือถือถูกล็อค,"Streamen Sie weiter, auch wenn Sie die Pixsee App verlassen oder das Mobilgerät gesperrt ist."
Background play settings,Background Play Settings,,,backgroundPlay.audioOnly,bg_play_audio_only,Audio only,純音訊,纯音频,เสียงเท่านั้น,Nur Audio
Background play settings,Background Play Settings,,,backgroundPlay.floatingVideo,bg_play_floating_video,Floating window,浮動視窗,浮动视窗,หน้าต่างลอยน้ำ,Schwebendes Fenster
Background play settings,Background Play Settings,,,backgroundPlay.typeOfDetection,bg_play_type_of_detection,Play type,播放類型,播放类型,ประเภทเล่น,Spieltyp
Background play settings,Device settings,,,backgroundPlay.keepPlaying,keep_playing,Keep playing,連續播放,持续播放,เล่นต่อไป,Spielen Sie weiter
Change password,Change password screen,,,changePassword,change_password_title,Change password,修改密碼,修改密码,เปลี่ยนรหัสผ่าน,Kennwort ändern
Change password,Change password screen,,,changePassword.currentPassword,current_password_field,Current password,目前密碼,目前密码,รหัสผ่านปัจจุบัน,Aktuelles Passwort.
Change password,Sign in screen,,,resetPassword,field_validation_empty_password,Please enter password.,請輸入密碼,请输入密码,กรุณากรอกรหัสผ่าน,Bitte gib das Passwort ein.
Change password,"Change password screen, Reset password screen",,,changePassword.newPassword,new_password_field,New password,新密碼,新密码,รหัสผ่านใหม่,Neues Passwort
